;Scopy version,438f138
;Exported on,Wednesday April 02/04/2025
;Device,M2K
;Nr of samples,256
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Sample,Hamming,1,Sample,Hamming,1,
Sample,Frequency(Hz),Amplitude CH1(dBV),Amplitude CH2(dBV)
170,265.625,-61.9296,-64.2458
171,267.188,-60.6322,-56.4237
172,268.75,-52.669,-53.6779
173,270.313,-53.2122,-62.3129
174,271.875,-68.2422,-65.5648
175,273.438,-62.1253,-65.0213
176,275,-71.2159,-66.0404
177,276.563,-63.3305,-63.3951
178,278.125,-60.9315,-58.911
179,279.688,-66.3167,-57.0367
180,281.25,-55.3403,-60.2855
181,282.813,-64.1587,-60.8177
182,284.375,-76.4058,-56.6321
183,285.938,-41.2906,-58.5046
184,287.5,-35.1761,-55.531
185,289.063,-46.4253,-65.1696
186,290.625,-55.4763,-63.0737
187,292.188,-54.9008,-72.9761
188,293.75,-56.9846,-71.7161
189,295.313,-67.0175,-65.7411
190,296.875,-58.6138,-61.4106
191,298.438,-56.9537,-55.5743
192,300,-50.8884,-55.3838
193,301.563,-55.2885,-64.4052
194,303.125,-62.4724,-61.7609
195,304.688,-49.4072,-56.1366
196,306.25,-31.1821,-60.4699
197,307.813,-29.7276,-55.1639
198,309.375,-44.1814,-56.6477
199,310.938,-55.7545,-55.4682
200,312.5,-55.7672,-55.2131
201,314.063,-57.129,-58.7354
202,315.625,-45.5208,-62.3135
203,317.188,-45.5694,-73.8537
204,318.75,-52.9321,-60.3434
205,320.313,-53.318,-58.4729
206,321.875,-65.1733,-73.1598
207,323.438,-64.3272,-72.409
208,325,-53.3963,-62.8051
209,326.563,-54.7822,-62.7948
210,328.125,-45.9447,-66.2744
211,329.688,-34.4468,-56.4461
212,331.25,-38.9802,-54.3584
213,332.813,-59.6243,-64.8076
214,334.375,-52.7642,-60.9617
215,335.938,-52.7959,-62.6461
216,337.5,-39.1263,-56.8045
217,339.063,-37.285,-60.6894
218,340.625,-43.1564,-59.6799
219,342.188,-54.8889,-57.394
220,343.75,-54.9818,-64.7138
221,345.313,-58.7526,-59.7192
222,346.875,-56.599,-85.1332
223,348.438,-58.957,-62.0647
224,350,-61.6875,-59.8362
225,351.563,-68.1004,-73.1103
226,353.125,-54.736,-62.0629
227,354.688,-52.0158,-61.0829
228,356.25,-56.7688,-70.9462
229,357.813,-52.3755,-60.0864
230,359.375,-46.1589,-55.8478
231,360.938,-51.8063,-54.3247
232,362.5,-56.9103,-62.1208
233,364.063,-65.9656,-63.2097
234,365.625,-58.8017,-72.7288
235,367.188,-55.6371,-71.1081
236,368.75,-59.5867,-60.926
237,370.313,-57.1454,-60.3136
238,371.875,-61.5012,-55.9784
239,373.438,-60.3897,-70.1482
240,375,-55.9125,-59.6797
241,376.563,-58.6953,-61.0774
242,378.125,-55.082,-66.6723
243,379.688,-50.3581,-68.4931
244,381.25,-54.4222,-65.7403
245,382.813,-42.9075,-63.3751
246,384.375,-44.5996,-59.0546
247,385.938,-54.6018,-57.4659
248,387.5,-56.8994,-58.9937
249,389.063,-51.6905,-55.6683
250,390.625,-51.6143,-63.8153
251,392.188,-49.7609,-67.1105
252,393.75,-59.7742,-67.6356
253,395.313,-49.451,-60.1029
254,396.875,-31.7107,-57.0152
255,398.438,-31.871,-56.5668
