;Scopy version,438f138
;Exported on,Wednesday April 02/04/2025
;Device,M2K
;Nr of samples,256
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Sample,Hamming,1,Sample,Hamming,1,
Sample,Frequency(Hz),Amplitude CH1(dBV),Amplitude CH2(dBV)
171,267.188,-49.5965,-59.8592
172,268.75,-50.503,-58.5926
173,270.313,-55.9704,-61.3907
174,271.875,-57.0219,-56.2604
175,273.438,-57.7281,-59.9836
176,275,-59.1802,-72.9121
177,276.563,-57.86,-59.0611
178,278.125,-51.9473,-57.1538
179,279.688,-51.0701,-56.5849
180,281.25,-49.9615,-54.7664
181,282.813,-59.9007,-59.6579
182,284.375,-59.6077,-66.541
183,285.938,-56.5379,-61.7846
184,287.5,-51.8282,-60.3462
185,289.063,-53.0956,-63.5775
186,290.625,-59.4606,-61.8487
187,292.188,-54.9875,-71.2074
188,293.75,-54.3074,-64.3599
189,295.313,-57.675,-72.1097
190,296.875,-62.9588,-66.1795
191,298.438,-72.4603,-64.5484
192,300,-54.2203,-65.9369
193,301.563,-52.5679,-72.7951
194,303.125,-51.9533,-74.6067
195,304.688,-47.5794,-58.7758
196,306.25,-47.1805,-57.2799
197,307.813,-42.2082,-54.222
198,309.375,-44.8008,-55.3723
199,310.938,-53.3057,-64.5681
200,312.5,-54.9374,-67.6358
201,314.063,-62.8765,-65.2778
202,315.625,-56.1558,-56.6746
203,317.188,-50.1763,-52.835
204,318.75,-58.6806,-55.2016
205,320.313,-61.2798,-59.2649
206,321.875,-57.8809,-58.141
207,323.438,-55.2652,-56.9991
208,325,-55.3351,-59.8469
209,326.563,-60.7171,-63.1162
210,328.125,-59.555,-58.3663
211,329.688,-53.6962,-55.8593
212,331.25,-61.9416,-54.4798
213,332.813,-61.5458,-53.6782
214,334.375,-56.6673,-56.2968
215,335.938,-50.1392,-54.225
216,337.5,-40.4976,-55.9059
217,339.063,-43.7565,-57.6622
218,340.625,-52.3046,-61.5679
219,342.188,-62.3346,-58.0729
220,343.75,-51.3039,-55.3186
221,345.313,-56.1609,-57.0059
222,346.875,-51.5984,-64.1472
223,348.438,-57.4738,-63.6761
224,350,-57.2001,-59.9723
225,351.563,-60.237,-55.1936
226,353.125,-58.5783,-57.4337
227,354.688,-53.4625,-58.8148
228,356.25,-50.7484,-75.482
229,357.813,-52.5425,-63.811
230,359.375,-48.9669,-61.9894
231,360.938,-49.0544,-65.1665
232,362.5,-52.2561,-77.2223
